region_sector,share_exporting_firms,usd_per_ton,sector,type,region
AZE_FSH,0.0023481536997365,1219.664134818643,FSH,agriculture,AZE
Africa_FSH,0.0216101964850273,6379.78549885752,FSH,agriculture,Africa
America_FSH,0.0360813677375357,11124.28261364089,FSH,agriculture,America
Asia_FSH,0.0065302008796567,3836.6113855153194,FSH,agriculture,Asia
CHN_FSH,0.0066615838152781,4240.839647970534,FSH,agriculture,CHN
Europe_FSH,0.0956700741634784,2823.5808216136666,FSH,agriculture,Europe
GEO_FSH,0.0087177879757019,98275.53701634068,FSH,agriculture,GEO
KAZ_FSH,0.0014369111713548,785.233555407401,FSH,agriculture,KAZ
KGZ_FSH,0.4698032463423566,1015.933247904844,FSH,agriculture,KGZ
North America_FSH,0.0757477528957482,6435.702966926834,FSH,agriculture,North America
Oceania_FSH,0.2638079728260049,14517.551640859636,FSH,agriculture,Oceania
RUS_FSH,0.2875810576111307,9242.519978247445,FSH,agriculture,RUS
South America_FSH,0.0254560866095092,3963.588378939685,FSH,agriculture,South America
TJK_FSH,0.0041791152199029,16908.85852600306,FSH,agriculture,TJK
TKM_FSH,0.968765337833271,2093.9654177208254,FSH,agriculture,TKM
TUR_FSH,0.2074947052613071,4151.136377481986,FSH,agriculture,TUR
UZB_FSH,0.0013647700148356,8252.193614720976,FSH,agriculture,UZB
ARM_GAS,0.0016802258252804,278.0020513627767,GAS,oil_and_gas,ARM
AZE_GAS,0.5916804389218472,274.5165428976176,GAS,oil_and_gas,AZE
Africa_GAS,0.5995645008423742,304.6084688430337,GAS,oil_and_gas,Africa
America_GAS,0.1990326258509795,278.0020513627767,GAS,oil_and_gas,America
Asia_GAS,0.1455962594422235,326.9828086225195,GAS,oil_and_gas,Asia
CHN_GAS,0.2115185375139023,409.45502441504647,GAS,oil_and_gas,CHN
Europe_GAS,0.0151469712408298,252.4332942588104,GAS,oil_and_gas,Europe
GEO_GAS,0.0007803755741992,278.0020513627767,GAS,oil_and_gas,GEO
KAZ_GAS,0.9034556852305584,257.82159222889834,GAS,oil_and_gas,KAZ
KGZ_GAS,0.0067703968974142,198.40012500704609,GAS,oil_and_gas,KGZ
North America_GAS,0.0813111621876397,287.4117079656308,GAS,oil_and_gas,North America
Oceania_GAS,0.8223071729164394,368.28472179132905,GAS,oil_and_gas,Oceania
RUS_GAS,0.7069535682804431,252.0165472571392,GAS,oil_and_gas,RUS
South America_GAS,0.0603857153301418,211.53057528640272,GAS,oil_and_gas,South America
TJK_GAS,1.2912294043467446e-05,278.0020513627767,GAS,oil_and_gas,TJK
TKM_GAS,0.8873902902112192,240.6980020595596,GAS,oil_and_gas,TKM
TUR_GAS,0.0892189446156196,303.36647622955485,GAS,oil_and_gas,TUR
UZB_GAS,0.2840015652123114,204.5028322162854,GAS,oil_and_gas,UZB
ARM_GDT,0.0054752907308277,7915.829034159953,GDT,utility,ARM
AZE_GDT,0.0572846874847732,7915.829034159953,GDT,utility,AZE
Africa_GDT,0.0131600044871745,1125.1842338822823,GDT,utility,Africa
America_GDT,0.0083226613910779,7915.829034159953,GDT,utility,America
Asia_GDT,0.0061465439304409,1024.998631312511,GDT,utility,Asia
