,sector,supply_data,cutoff,coverage
605,BIH_Metal Products,USD,0,1
606,BIH_Electrical and Machinery,USD,0,1
607,BIH_Transport Equipment,USD,0,1
608,BIH_Other Manufacturing,USD,0,1
609,BIH_Recycling,USD,0,1
610,"BIH_Electricity, Gas and Water",USD,0,1
611,BIH_Construction,USD,0,1
612,BIH_Maintenance and Repair,USD,0,1
613,BIH_Wholesale Trade,USD,0,1
614,BIH_Retail Trade,USD,0,1
615,BIH_Hotels and Restraurants,USD,0,1
616,BIH_Transport,USD,0,1
617,BIH_Post and Telecommunications,USD,0,1
618,BIH_Finacial Intermediation and Business Activities,USD,0,1
619,BIH_Public Administration,USD,0,1
620,"BIH_Education, Health and Other Services",USD,0,1
621,BIH_Private Households,USD,0,1
622,BIH_Others,USD,0,1
623,BIH_Re-export & Re-import,USD,0,1
624,BWA_Agriculture,USD,0,1
625,BWA_Fishing,USD,0,1
626,BWA_Mining and Quarrying,USD,0,1
627,BWA_Food & Beverages,USD,0,1
628,BWA_Textiles and Wearing Apparel,USD,0,1
629,BWA_Wood and Paper,USD,0,1
